cmtid,ctime,author_username,comment,rating_star
"6232193547","1633844762","v*****3","Packingnya rapi dan aman. Ini pembelian ke-2x nya setelah udah ganti packing parfum. Sukaaaa bgt wanginya. Thank you ya.","5"
"4568055393","1618714634","m*****y","Kok kemasan isinya beda dari yg lain ya, ga ada kartu ucapan juga. Stiker di parfumnya juga kaya ditempel biasa. Apa karna barangnya abis2an? Kemarin pas saya beli yg mexicola bagus2 aja loh.","4"
"4291542133","1615693304","mirakatharina","Kemasan:packagingnya simple tapi elegan, oke deh pokoknya. Ketahanan:baru coba dipake di indoor, dan emg awet bgt wanginya. Wangi:bener² aroma maskulin nya keluar. berasa lakik bgt pake ini","5"
"15049571699","1714570889","v*****3","Ketahanan:6-8 jam. Tekstur:cair. Cocok Untuk:outdoor indoor. . Kesekian kalinya repeat order di onix,senoparty emang ga pernah mengecewakan,thx onix🖐🏻","5"
"7414395745","1644149182","","Kemasan:aman terjaga. Wangi:wangi bangett asli dah. Ketahanan:dari pagi sampe pagi pun masih wangi. . barang sesuai produk, mendarat dengan sempurna tidak ada cacat atau apapun itu. pokonya mantap deh","5"
"3271768692","1603865425","oliviaanggita","Yeaay sudah sampe barangnya langsung gercep unboxing dan nyoba semprot. Sprayernya juara, soft banget gak yg 'nyembur' wkwkwk tapi utk aroma kurang suka sih mungkin lbh cocok dipake sama cowokku sih krn mayan strong dan bau yg maskulin bgt 😁 thankyou seller","5"
"4378431451","1616680308","luciianna","Kemasan:lumayan berat si xixix its ok. Ketahanan:ok bgtt awett ampe besok . Wangi:njir wanginya kaya lagi di mall kelapa gading wjwj. . Orang yang disebabkan oleh para pemain terbaik untuk menjadi lebih dari ordo Coleoptera","5"
"7406267039","1644065569","luckykharisma17","Wangi:gak bikin pusing. Ketahanan:-. Kemasan:mewah. . Fast respon, pelayanan baik, pengiriman cepat, kemasan mewah... top markocop pokoknya 👍","5"
"32621371090","1741686769","d*****i","Aroma:Soft. Durabilitas:6 jam. Tekstur:Enak. . Wanginya soft gak terlalu nyengat, cocok buat dipake sore sama malem hari","5"
"3334604155","1604747626","h*****4","Baru pertama pake onix. Pengemasannya savety bgttt ...","5"
"9555848394","1663127134","mbayusmd","Performa:Ga Jelas. Baunya Kek Obat2an. Udah coba semprot2 juga baunya cuman beberapa menit ilang.. Cocok Untuk:Ga Banget","1"
"5020748144","1623206288","ndi_1895","Kemasan:aman banget, bubble wrap tebel. Ketahanan:udah 6 jam-an dipake di baju masih kecium wanginya. Wangi:wanginya bikin pengen nempel terus","5"
"7943660170","1648960923","f*****c","Awalnya dateng product yang reject, lalu lapor ke admin langsung ditangani 🤭 proses returnya fast bgt, adminnya bestie abis. thank u onix.","5"
"9699481673","1664550194","m*****5","Tekstur:Cairan Parfum. Performa:Tahan Lama. Cocok Untuk:Unisex. . Wanginya Legiit, sekali semprot auto mode ganteng elegan percaya sama gue, lo ga bisa move on ama ni parfum aslii","5"
"4266311088","1615422161","h*****g","Kemasan:nice. Ketahanan:ini adalah parfum yg paling tahan lama yg pernah aku cobain... Wangi:wanginya enak, manis yg ga eneg, enak pokoknya... . Mantap banget pokoknya, pengen beli lagi nanti kalo ada uang..","5"
